X,Y,FACILITY_ID,TIME,CAPACITY,OCCUPATION,PERCENTAGE_OF_OCCUPATION
100.0,-810.0,116_curbside_sensor,33027.0,9,3,0.3333333333333333
-410.0,-700.0,414_curbside_sensor,33080.0,9,7,0.7777777777777778
-410.0,-700.0,414_curbside_sensor,33127.0,9,8,0.8888888888888888
-500.0,-610.0,124_curbside_sensor,33134.0,8,4,0.5
100.0,-810.0,116_curbside_sensor,33178.0,9,4,0.4444444444444444
-410.0,-700.0,414_curbside_sensor,33187.0,9,9,1.0
210.0,-300.0,439_curbside_sensor,33192.0,7,5,0.7142857142857143
10.0,-500.0,227_curbside_sensor,33195.0,7,1,0.14285714285714285
-410.0,-300.0,436_curbside_sensor,33206.0,9,0,0.0
-700.0,-610.0,123_curbside_sensor,33276.0,7,1,0.14285714285714285
300.0,-410.0,139_curbside_sensor,33303.0,7,2,0.2857142857142857
-500.0,-610.0,124_curbside_sensor,33339.0,8,5,0.625
210.0,-300.0,439_curbside_sensor,33372.0,7,4,0.5714285714285714
-500.0,-610.0,124_curbside_sensor,33454.0,8,6,0.75
-300.0,-390.0,336_curbside_sensor,33553.0,7,4,0.5714285714285714
